Property_Name,Property_Id,BreadCrumbs,Price,Location,Image_url,Description,Property_Type,Bathrooms,Bedrooms
2BHK FLAT for Rent at thiruvannur,1683927808,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1200', 'value': '1200', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1200'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1200', 'value': '1200', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1200'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '0', 'value': '0', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '0'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '3', 'value': '3', 'key_name': 'Total Floors', 'formatted_value': '3'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'projects', 'value_name': 'Geetham apartment', 'value': 'Geetham apartment', 'key_name': 'Project Name', 'formatted_value': 'Geetham apartment'}]","{'INR': '₹ 12,500'}","Thiruvannur, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/fxyber9875bp3-IN/image,"First floor, 2 bhk flat with car parking facility",Apartments,2,2
Small family only,1683919236,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '1', 'value': '1', 'key_name': 'Bathrooms', 'formatted_value': '1'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1', 'value': '1', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1', 'value': '1', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '1', 'value': '1', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '1'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '1', 'value': '1', 'key_name': 'Total Floors', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'projects', 'value_name': 'Rent', 'value': 'Rent', 'key_name': 'Project Name', 'formatted_value': 'Rent'}]","{'INR': '₹ 10,000'}","Parayanchery, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/ezij6d9x4bbd2-IN/image,First floor house,Houses & Villas,1,2
1 BHK flat in easthill,1683879543,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '1', 'value': '1', 'key_name': 'Bedrooms', 'formatted_value': '1'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '1', 'value': '1', 'key_name': 'Bathrooms', 'formatted_value': '1'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Semi-Furnished', 'value': 'semi', 'key_name': 'Furnishing', 'formatted_value': 'Semi-Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Builder', 'value': 'builder', 'key_name': 'Listed by', 'formatted_value': 'Builder'}, {'type': 'single', 'key': 'ft', 'value_name': '550', 'value': '550', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '550'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '500', 'value': '500', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '500'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '600', 'value': '600', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '600'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '3', 'value': '3', 'key_name': 'Total Floors', 'formatted_value': '3'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '1', 'value': '1', 'key_name': 'Floor No', 'formatted_value': '1'}, {'type': 'single', 'key': 'facing', 'value_name': 'North', 'value': 'north', 'key_name': 'Facing', 'formatted_value': 'North'}, {'type': 'single', 'key': 'projects', 'value_name': 'Easthill appartments', 'value': 'Easthill appartments', 'key_name': 'Project Name', 'formatted_value': 'Easthill appartments'}]","{'INR': '₹ 7,000'}","East Hill, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/xhv4pwcab66e3-IN/image,Selling a flat,Apartments,1,1
2bhk unfurnished luxury flat rent karaparamb,1683876638,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1250', 'value': '1250', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1250'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1250', 'value': '1250', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1250'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '2500', 'value': '2500', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '16', 'value': '16', 'key_name': 'Total Floors', 'formatted_value': '16'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '6', 'value': '6', 'key_name': 'Floor No', 'formatted_value': '6'}, {'type': 'single', 'key': 'projects', 'value_name': 'Contact 9895977763', 'value': 'Contact 9895977763', 'key_name': 'Project Name', 'formatted_value': 'Contact 9895977763'}]","{'INR': '₹ 18,000'}","Karaparamba, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/6qkxuj47xqwz1-IN/image,2bhk unfurnished luxury flat rent in karaparamb  Attached bathroom  Modular kitchen  Balcony  Hall Work area Good well water  Car parking Gym Pool Indoor games Jogging track  Kids play Power backup  STP etc,Apartments,2,2
2bhk fullyfurnished luxury flat rent karaparamb,1683874594,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1250', 'value': '1250', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1250'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1250', 'value': '1250', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1250'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '2500', 'value': '2500', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '16', 'value': '16', 'key_name': 'Total Floors', 'formatted_value': '16'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '6', 'value': '6', 'key_name': 'Floor No', 'formatted_value': '6'}, {'type': 'single', 'key': 'projects', 'value_name': 'Contact 9895977763', 'value': 'Contact 9895977763', 'key_name': 'Project Name', 'formatted_value': 'Contact 9895977763'}]","{'INR': '₹ 25,000'}","Karaparamba, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/33ycw43iur3t-IN/image,2bhk fullyfurnished flat rent karaparamb  Attached bathroom  Ac Balcony  Hall Work area Good well water Car parking Gym Pool Jogging track Indoor games Kids play Power backup  STP etc,Apartments,2,2
3bhk posh fullyfurnished flat HILITE residency,1683871563,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1700', 'value': '1700', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1700'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1700', 'value': '1700', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1700'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '3800', 'value': '3800', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '3800'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '19', 'value': '19', 'key_name': 'Total Floors', 'formatted_value': '19'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '10', 'value': '10', 'key_name': 'Floor No', 'formatted_value': '10'}, {'type': 'single', 'key': 'projects', 'value_name': 'Contact 9895977763', 'value': 'Contact 9895977763', 'key_name': 'Project Name', 'formatted_value': 'Contact 9895977763'}]","{'INR': '₹ 40,000'}","Thondayad, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/sv0q3di1maez1-IN/image,3bhk posh fullyfurnished flat HILITE residency  Attached bathroom  2balcony Modular kitchen  Hall Work area Good well water Car parking Gym Pool Super market Conference hall Indoor games Outdoing games  Power backup  STP etc,Apartments,3,3
2 BHK Full Furnished Apartment For Rent,1683858070,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1380', 'value': '1380', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1380'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1260', 'value': '1260', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1260'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '2500', 'value': '2500', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '2500'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '23', 'value': '23', 'key_name': 'Total Floors', 'formatted_value': '23'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '13', 'value': '13', 'key_name': 'Floor No', 'formatted_value': '13'}, {'type': 'single', 'key': 'projects', 'value_name': 'Call 9207390322', 'value': 'Call 9207390322', 'key_name': 'Project Name', 'formatted_value': 'Call 9207390322'}]","{'INR': '₹ 28,000'}","Karaparamba, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/bzid2ih50e4e3-IN/image,"A/C, Fridge, Washing machine",Apartments,2,2
Walkable distance from Mim hospital calicut,1683853091,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '4', 'value': '4', 'key_name': 'Bedrooms', 'formatted_value': '4'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '4+', 'value': '5', 'key_name': 'Bathrooms', 'formatted_value': '4+'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Owner', 'value': 'owner', 'key_name': 'Listed by', 'formatted_value': 'Owner'}, {'type': 'single', 'key': 'ft', 'value_name': '1600', 'value': '1600', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '1600'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '1600', 'value': '1600', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '1600'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'Yes', 'value': 'yes', 'key_name': 'Bachelors Allowed', 'formatted_value': 'Yes'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '2', 'value': '2', 'key_name': 'Total Floors', 'formatted_value': '2'}, {'type': 'single', 'key': 'carparking', 'value_name': '2', 'value': '2', 'key_name': 'Car Parking', 'formatted_value': '2'}, {'type': 'single', 'key': 'floorno', 'value_name': '2', 'value': '2', 'key_name': 'Floor No', 'formatted_value': '2'}, {'type': 'single', 'key': 'facing', 'value_name': 'North', 'value': 'north', 'key_name': 'Facing', 'formatted_value': 'North'}, {'type': 'single', 'key': 'projects', 'value_name': 'Thacharoth', 'value': 'Thacharoth', 'key_name': 'Project Name', 'formatted_value': 'Thacharoth'}]","{'INR': '₹ 33,000'}","Mankavu, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/yqg7n2sv4c3q1-IN/image,"Walkable distance from mangav town,mims hospital  Independent house, 4bedroom all  attached bathroom 5 bathroom Ac, invertor, water filter, invertor , gate , compound, well",Houses & Villas,4+,4
Nadakkav  Bilathikulam. 2/ Bedroom House,1683831389,"[{'type': 'single', 'key': 'type', 'value_name': 'Houses & Villas', 'value': 'houses', 'key_name': 'Type', 'formatted_value': 'Houses & Villas'}, {'type': 'single', 'key': 'rooms', 'value_name': '2', 'value': '2', 'key_name': 'Bedrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '2', 'value': '2', 'key_name': 'Bathrooms', 'formatted_value': '2'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Unfurnished', 'value': 'no', 'key_name': 'Furnishing', 'formatted_value': 'Unfurnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '900', 'value': '900', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '900'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '900', 'value': '900', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '900'}, {'type': 'single', 'key': 'bachelors', 'value_name': 'No', 'value': 'no', 'key_name': 'Bachelors Allowed', 'formatted_value': 'No'}, {'type': 'single', 'key': 'maintenance', 'value_name': '0', 'value': '0', 'key_name': 'Maintenance (Monthly)', 'formatted_value': '0'}, {'type': 'single', 'key': 'totalfloors', 'value_name': '1', 'value': '1', 'key_name': 'Total Floors', 'formatted_value': '1'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'floorno', 'value_name': '0', 'value': '0', 'key_name': 'Floor No', 'formatted_value': '0'}, {'type': 'single', 'key': 'facing', 'value_name': 'South-West', 'value': 'southwest', 'key_name': 'Facing', 'formatted_value': 'South-West'}, {'type': 'single', 'key': 'projects', 'value_name': 'House', 'value': 'House', 'key_name': 'Project Name', 'formatted_value': 'House'}]","{'INR': '₹ 9,500'}","Nadakkavu, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/vuvym2qmwank2-IN/image,Rent. 10000/ Advance six-month Rent Service charge Applicable KAIRALI PROPERTIES * 94. 47.   63.   85.   14,Houses & Villas,2,2
"3 BHK RESIDENTIAL FLAT FOR RENT AT MATHARA,CALICUT",1683831387,"[{'type': 'single', 'key': 'type', 'value_name': 'Apartments', 'value': 'rent-apartments', 'key_name': 'Type', 'formatted_value': 'Apartments'}, {'type': 'single', 'key': 'rooms', 'value_name': '3', 'value': '3', 'key_name': 'Bedrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'bathrooms', 'value_name': '3', 'value': '3', 'key_name': 'Bathrooms', 'formatted_value': '3'}, {'type': 'single', 'key': 'furnished', 'value_name': 'Furnished', 'value': 'yes', 'key_name': 'Furnishing', 'formatted_value': 'Furnished'}, {'type': 'single', 'key': 'listed_by', 'value_name': 'Dealer', 'value': 'broker', 'key_name': 'Listed by', 'formatted_value': 'Dealer'}, {'type': 'single', 'key': 'ft', 'value_name': '000', 'value': '000', 'key_name': 'Super Builtup area (ft²)', 'formatted_value': '000'}, {'type': 'single', 'key': 'carpetarea', 'value_name': '000', 'value': '000', 'key_name': 'Carpet Area (ft²)', 'formatted_value': '000'}, {'type': 'single', 'key': 'carparking', 'value_name': '1', 'value': '1', 'key_name': 'Car Parking', 'formatted_value': '1'}, {'type': 'single', 'key': 'projects', 'value_name': 'RESIDENTIAL FLAT', 'value': 'RESIDENTIAL FLAT', 'key_name': 'Project Name', 'formatted_value': 'RESIDENTIAL FLAT'}]","{'INR': '₹ 30,000'}","Thondayad, Kozhikode, Kerala",https://apollo-singapore.akamaized.net:443/v1/files/oid14z89md3w2-IN/image,"THOMAS ASSOCIATES REALTORS CALICUT  RESIDENTIAL FLAT FOR RENT  3BHK  FULLY FURNISHED  LOCATION - MANKAVE  Amenities :-   Parking   swimming pool   Gym   Party hall   Badminton court    this picture may differ from original, this is used for advertising purpose only  RERA REGISTERED COMPANY RERA NO -  K - RERA/AG/0018/2021  For more details contact : . 63/897,Our college building, ground floor, mavoor road, calicut - 673001 . .  thomas_associates_ realtors Realestate Buyingandselling Rental Realestatesale #resorts #flatsforsale hotelsandresorts Residential_land malls agricultural_land Industrial_land Realestate_consultancy Property_managment Construction_services Renovation_services #vasthu_consultancy property_legal_advisory_and_a_lot_more",Apartments,3,3
